Time (PST),Battery Current 1,Battery Current 2
2015-04-10 16:30, 0.66, -NaN
2015-04-10 17:00, 0.01, -NaN
2015-04-10 17:30, 0.37, -NaN
2015-04-10 18:00, -0.38, -NaN
2015-04-10 18:30, -0.68, -NaN
2015-04-10 19:00, -0.68, -NaN
2015-04-10 19:30, -0.68, -NaN
2015-04-10 20:00, -0.68, -NaN
2015-04-10 20:30, -0.91, -NaN
2015-04-10 21:00, -0.68, -NaN
2015-04-10 21:30, -0.68, -NaN
2015-04-10 22:00, -0.68, -NaN
2015-04-10 22:30, -0.68, -NaN
2015-04-10 23:00, -0.68, -NaN
2015-04-10 23:30, -0.68, -NaN
2015-04-11 00:00, -0.68, -NaN
2015-04-11 00:30, -0.91, -NaN
2015-04-11 01:00, -0.69, -NaN
2015-04-11 01:30, -0.69, -NaN
2015-04-11 02:00, -0.69, -NaN
2015-04-11 02:30, -0.69, -NaN
2015-04-11 03:00, -0.69, -NaN
2015-04-11 03:30, -0.69, -NaN
2015-04-11 04:00, -0.69, -NaN
2015-04-11 04:30, -0.91, -NaN
2015-04-11 05:00, -0.69, -NaN
2015-04-11 05:30, -0.69, -NaN
2015-04-11 06:00, -0.69, -NaN
2015-04-11 06:30, -0.32, -NaN
2015-04-11 07:00, 0.76, -NaN
2015-04-11 07:30, 0.43, -NaN
2015-04-11 08:00, 2.09, -NaN
2015-04-11 08:30, 2.89, -NaN
2015-04-11 09:00, 2.80, -NaN
2015-04-11 09:30, 2.16, -NaN
2015-04-11 10:00, 1.92, -NaN
2015-04-11 10:30, 1.58, -NaN
2015-04-11 11:00, 1.12, -NaN
2015-04-11 11:30, 1.05, -NaN
2015-04-11 12:00, 0.89, -NaN
2015-04-11 12:30, 0.79, -NaN
2015-04-11 13:00, 0.78, -NaN
2015-04-11 13:30, 0.64, -NaN
2015-04-11 14:00, 0.68, -NaN
2015-04-11 14:30, 0.58, -NaN
2015-04-11 15:00, 0.47, -NaN
2015-04-11 15:30, 0.53, -NaN
2015-04-11 16:00, 0.49, -NaN
2015-04-11 16:30, 0.51, -NaN
2015-04-11 17:00, 0.52, -NaN
2015-04-11 17:30, 0.47, -NaN
2015-04-11 18:00, 0.35, -NaN
2015-04-11 18:30, 0.06, -NaN
2015-04-11 19:00, -0.68, -NaN
2015-04-11 19:30, -0.68, -NaN
2015-04-11 20:00, -0.68, -NaN
2015-04-11 20:30, -0.91, -NaN
2015-04-11 21:00, -0.68, -NaN
2015-04-11 21:30, -0.69, -NaN
2015-04-11 22:00, -0.69, -NaN
2015-04-11 22:30, -0.69, -NaN
2015-04-11 23:00, -0.69, -NaN
2015-04-11 23:30, -0.69, -NaN
2015-04-12 00:00, -0.69, -NaN
2015-04-12 00:30, -0.91, -NaN
2015-04-12 01:00, -0.69, -NaN
2015-04-12 01:30, -0.69, -NaN
2015-04-12 02:00, -0.69, -NaN
2015-04-12 02:30, -0.69, -NaN
2015-04-12 03:00, -0.69, -NaN
2015-04-12 03:30, -0.69, -NaN
2015-04-12 04:00, -0.69, -NaN
2015-04-12 04:30, -0.91, -NaN
2015-04-12 05:00, -0.69, -NaN
2015-04-12 05:30, -0.69, -NaN
2015-04-12 06:00, -0.36, -NaN
2015-04-12 06:30, 0.60, -NaN
2015-04-12 07:00, 2.10, -NaN
2015-04-12 07:30, 3.10, -NaN
2015-04-12 08:00, 2.65, -NaN
2015-04-12 08:30, 2.03, -NaN
2015-04-12 09:00, 1.75, -NaN
2015-04-12 09:30, 1.46, -NaN
2015-04-12 10:00, 1.29, -NaN
2015-04-12 10:30, 0.97, -NaN
2015-04-12 11:00, 0.82, -NaN
2015-04-12 11:30, 0.71, -NaN
2015-04-12 12:00, 0.57, -NaN
2015-04-12 12:30, 0.56, -NaN
2015-04-12 13:00, 0.49, -NaN
2015-04-12 13:30, 0.50, -NaN
2015-04-12 14:00, 0.40, -NaN
2015-04-12 14:30, 0.47, -NaN
2015-04-12 15:00, 0.44, -NaN
2015-04-12 15:30, 0.44, -NaN
2015-04-12 16:00, 0.44, -NaN
2015-04-12 16:30, 0.41, -NaN
2015-04-12 17:00, 0.37, -NaN
2015-04-12 17:30, 0.32, -NaN
2015-04-12 18:00, -0.23, -NaN
2015-04-12 18:30, -0.68, -NaN
2015-04-12 19:00, -0.68, -NaN
2015-04-12 19:30, -0.68, -NaN
2015-04-12 20:00, -0.68, -NaN
2015-04-12 20:30, -0.91, -NaN
2015-04-12 21:00, -0.68, -NaN
2015-04-12 21:30, -0.68, -NaN
2015-04-12 22:00, -0.68, -NaN
2015-04-12 22:30, -0.68, -NaN
2015-04-12 23:00, -0.68, -NaN
2015-04-12 23:30, -0.68, -NaN
2015-04-13 00:00, -0.68, -NaN
2015-04-13 00:30, -0.91, -NaN
2015-04-13 01:00, -0.68, -NaN
2015-04-13 01:30, -0.69, -NaN
2015-04-13 02:00, -0.69, -NaN
2015-04-13 02:30, -0.69, -NaN
2015-04-13 03:00, -0.69, -NaN
2015-04-13 03:30, -0.69, -NaN
2015-04-13 04:00, -0.69, -NaN
2015-04-13 04:30, -0.91, -NaN
2015-04-13 05:00, -0.69, -NaN
2015-04-13 05:30, -0.69, -NaN
2015-04-13 06:00, -0.69, -NaN
2015-04-13 06:30, -0.69, -NaN
2015-04-13 07:00, -0.45, -NaN
2015-04-13 07:30, -0.07, -NaN
2015-04-13 08:00, 0.30, -NaN
2015-04-13 08:30, 0.67, -NaN
2015-04-13 09:00, 1.00, -NaN
2015-04-13 09:30, 1.59, -NaN
2015-04-13 10:00, 1.96, -NaN
2015-04-13 10:30, 1.33, -NaN
2015-04-13 11:00, 1.50, -NaN
2015-04-13 11:30, 1.76, -NaN
2015-04-13 12:00, 2.07, -NaN
2015-04-13 12:30, 1.59, -NaN
2015-04-13 13:00, 0.64, -NaN
2015-04-13 13:30, 0.74, -NaN
2015-04-13 14:00, 1.43, -NaN
2015-04-13 14:30, 1.15, -NaN
2015-04-13 15:00, 0.68, -NaN
2015-04-13 15:30, 0.92, -NaN
2015-04-13 16:00, 0.70, -NaN
2015-04-13 16:30, -0.15, -NaN
2015-04-13 17:00, 0.25, -NaN
2015-04-13 17:30, 0.00, -NaN
2015-04-13 18:00, -0.25, -NaN
2015-04-13 18:30, -0.67, -NaN
2015-04-13 19:00, -0.68, -NaN
2015-04-13 19:30, -0.68, -NaN
2015-04-13 20:00, -0.68, -NaN
2015-04-13 20:30, -0.91, -NaN
2015-04-13 21:00, -0.69, -NaN
2015-04-13 21:30, -0.69, -NaN
2015-04-13 22:00, -0.69, -NaN
2015-04-13 22:30, -0.69, -NaN
2015-04-13 23:00, -0.69, -NaN
2015-04-13 23:30, -0.69, -NaN
2015-04-14 00:00, -0.69, -NaN
2015-04-14 00:30, -0.91, -NaN
2015-04-14 01:00, -0.69, -NaN
2015-04-14 01:30, -0.69, -NaN
2015-04-14 02:00, -0.69, -NaN
2015-04-14 02:30, -0.69, -NaN
2015-04-14 03:00, -0.69, -NaN
2015-04-14 03:30, -0.69, -NaN
2015-04-14 04:00, -0.69, -NaN
2015-04-14 04:30, -0.91, -NaN
2015-04-14 05:00, -0.69, -NaN
2015-04-14 05:30, -0.69, -NaN
2015-04-14 06:00, -0.55, -NaN
2015-04-14 06:30, 1.37, -NaN
2015-04-14 07:00, 3.78, -NaN
2015-04-14 07:30, 3.09, -NaN
2015-04-14 08:00, 2.42, -NaN
2015-04-14 08:30, 1.99, -NaN
2015-04-14 09:00, 1.34, -NaN
2015-04-14 09:30, 1.20, -NaN
2015-04-14 10:00, 1.11, -NaN
2015-04-14 10:30, 0.99, -NaN
2015-04-14 11:00, 0.89, -NaN
2015-04-14 11:30, 0.76, -NaN
2015-04-14 12:00, 0.78, -NaN
2015-04-14 12:30, 0.61, -NaN
2015-04-14 13:00, 0.70, -NaN
2015-04-14 13:30, 0.57, -NaN
2015-04-14 14:00, 0.57, -NaN
2015-04-14 14:30, 0.55, -NaN
2015-04-14 15:00, 0.52, -NaN
2015-04-14 15:30, 0.52, -NaN
2015-04-14 16:00, 0.48, -NaN
2015-04-14 16:30, 0.53, -NaN
2015-04-14 17:00, 0.48, -NaN
2015-04-14 17:30, 0.34, -NaN
2015-04-14 18:00, 0.05, -NaN
2015-04-14 18:30, -0.01, -NaN
2015-04-14 19:00, -0.60, -NaN
2015-04-14 19:30, -0.68, -NaN
2015-04-14 20:00, -0.68, -NaN
2015-04-14 20:30, -0.91, -NaN
2015-04-14 21:00, -0.69, -NaN
2015-04-14 21:30, -0.69, -NaN
2015-04-14 22:00, -0.69, -NaN
2015-04-14 22:30, -0.69, -NaN
2015-04-14 23:00, -0.69, -NaN
2015-04-14 23:30, -0.69, -NaN
2015-04-15 00:00, -0.69, -NaN
2015-04-15 00:30, -0.91, -NaN
2015-04-15 01:00, -0.69, -NaN
2015-04-15 01:30, -0.69, -NaN
2015-04-15 02:00, -0.69, -NaN
2015-04-15 02:30, -0.69, -NaN
2015-04-15 03:00, -0.69, -NaN
2015-04-15 03:30, -0.69, -NaN
2015-04-15 04:00, -0.69, -NaN
2015-04-15 04:30, -0.91, -NaN
2015-04-15 05:00, -0.69, -NaN
2015-04-15 05:30, -0.69, -NaN
2015-04-15 06:00, -0.44, -NaN
2015-04-15 06:30, 0.25, -NaN
2015-04-15 07:00, 2.52, -NaN
2015-04-15 07:30, 2.91, -NaN
2015-04-15 08:00, 2.46, -NaN
2015-04-15 08:30, 2.20, -NaN
2015-04-15 09:00, 1.77, -NaN
2015-04-15 09:30, 1.21, -NaN
2015-04-15 10:00, 1.14, -NaN
2015-04-15 10:30, 0.90, -NaN
2015-04-15 11:00, 0.90, -NaN
2015-04-15 11:30, 0.77, -NaN
2015-04-15 12:00, 0.71, -NaN
2015-04-15 12:30, 0.65, -NaN
2015-04-15 13:00, 0.60, -NaN
2015-04-15 13:30, 0.52, -NaN
2015-04-15 14:00, 0.43, -NaN
2015-04-15 14:30, 0.55, -NaN
2015-04-15 15:00, 0.43, -NaN
2015-04-15 15:30, 0.51, -NaN
2015-04-15 16:00, 0.34, -NaN
2015-04-15 16:30, 0.42, -NaN
2015-04-15 17:00, 0.45, -NaN
2015-04-15 17:30, 0.40, -NaN
2015-04-15 18:00, -0.00, -NaN
2015-04-15 18:30, -0.01, -NaN
2015-04-15 19:00, -0.59, -NaN
2015-04-15 19:30, -0.68, -NaN
2015-04-15 20:00, -0.68, -NaN
2015-04-15 20:30, -0.91, -NaN
2015-04-15 21:00, -0.68, -NaN
2015-04-15 21:30, -0.68, -NaN
2015-04-15 22:00, -0.68, -NaN
2015-04-15 22:30, -0.69, -NaN
2015-04-15 23:00, -0.69, -NaN
2015-04-15 23:30, -0.69, -NaN
2015-04-16 00:00, -0.69, -NaN
2015-04-16 00:30, -0.91, -NaN
2015-04-16 01:00, -0.69, -NaN
2015-04-16 01:30, -0.69, -NaN
2015-04-16 02:00, -0.69, -NaN
2015-04-16 02:30, -0.69, -NaN
2015-04-16 03:00, -0.69, -NaN
2015-04-16 03:30, -0.69, -NaN
2015-04-16 04:00, -0.69, -NaN
2015-04-16 04:30, -0.91, -NaN
2015-04-16 05:00, -0.69, -NaN
2015-04-16 05:30, -0.69, -NaN
2015-04-16 06:00, -0.49, -NaN
2015-04-16 06:30, 1.44, -NaN
2015-04-16 07:00, 3.77, -NaN
2015-04-16 07:30, 2.84, -NaN
2015-04-16 08:00, 2.25, -NaN
2015-04-16 08:30, 1.91, -NaN
2015-04-16 09:00, 1.37, -NaN
2015-04-16 09:30, 1.08, -NaN
2015-04-16 10:00, 0.96, -NaN
2015-04-16 10:30, 0.80, -NaN
2015-04-16 11:00, 0.67, -NaN
2015-04-16 11:30, 0.63, -NaN
2015-04-16 12:00, 0.65, -NaN
2015-04-16 12:30, 0.59, -NaN
2015-04-16 13:00, 0.61, -NaN
2015-04-16 13:30, 0.46, -NaN
2015-04-16 14:00, 0.47, -NaN
2015-04-16 14:30, 0.55, -NaN
2015-04-16 15:00, 0.53, -NaN
2015-04-16 15:30, 0.30, -NaN
2015-04-16 16:00, 0.37, -NaN
2015-04-16 16:30, 0.41, -NaN
2015-04-16 17:00, 0.48, -NaN
2015-04-16 17:30, 0.31, -NaN
2015-04-16 18:00, -0.00, -NaN
2015-04-16 18:30, -0.03, -NaN
2015-04-16 19:00, -0.62, -NaN
2015-04-16 19:30, -0.68, -NaN
2015-04-16 20:00, -0.68, -NaN
2015-04-16 20:30, -0.91, -NaN
2015-04-16 21:00, -0.68, -NaN
2015-04-16 21:30, -0.68, -NaN
2015-04-16 22:00, -0.68, -NaN
2015-04-16 22:30, -0.68, -NaN
2015-04-16 23:00, -0.69, -NaN
2015-04-16 23:30, -0.69, -NaN
2015-04-17 00:00, -0.69, -NaN
2015-04-17 00:30, -0.91, -NaN
2015-04-17 01:00, -0.69, -NaN
2015-04-17 01:30, -0.69, -NaN
2015-04-17 02:00, -0.69, -NaN
2015-04-17 02:30, -0.69, -NaN
2015-04-17 03:00, -0.69, -NaN
2015-04-17 03:30, -0.69, -NaN
2015-04-17 04:00, -0.69, -NaN
2015-04-17 04:30, -0.91, -NaN
2015-04-17 05:00, -0.69, -NaN
2015-04-17 05:30, -0.69, -NaN
2015-04-17 06:00, -0.68, -NaN
2015-04-17 06:30, -0.66, -NaN
2015-04-17 07:00, 0.40, -NaN
2015-04-17 07:30, 2.53, -NaN
2015-04-17 08:00, 3.73, -NaN
2015-04-17 08:30, 2.72, -NaN
2015-04-17 09:00, 2.18, -NaN
2015-04-17 09:30, 1.80, -NaN
2015-04-17 10:00, 1.36, -NaN
2015-04-17 10:30, 0.91, -NaN
2015-04-17 11:00, 0.94, -NaN
2015-04-17 11:30, 1.00, -NaN
2015-04-17 12:00, 0.68, -NaN
2015-04-17 12:30, -NaN, -NaN
2015-04-17 13:00, -NaN, -NaN
2015-04-17 13:30, -NaN, -NaN
2015-04-17 14:00, -NaN, -NaN
