Time (PST),Air Temperature (2.05m),Air Temperature (0.38m)
2014-07-09 16:00, -NaN, 26.62
2014-07-09 16:30, -NaN, 26.13
2014-07-09 17:00, -NaN, 25.32
2014-07-09 17:30, -NaN, 24.85
2014-07-09 18:00, -NaN, 24.24
2014-07-09 18:30, -NaN, 23.52
2014-07-09 19:00, -NaN, 22.09
2014-07-09 19:30, -NaN, 21.41
2014-07-09 20:00, -NaN, 19.67
2014-07-09 20:30, -NaN, 18.52
2014-07-09 21:00, -NaN, 17.80
2014-07-09 21:30, -NaN, 17.20
2014-07-09 22:00, -NaN, 17.64
2014-07-09 22:30, -NaN, 16.72
2014-07-09 23:00, -NaN, 16.98
2014-07-09 23:30, -NaN, 16.87
2014-07-10 00:00, -NaN, 16.35
2014-07-10 00:30, -NaN, 14.86
2014-07-10 01:00, -NaN, 14.57
2014-07-10 01:30, -NaN, 14.58
2014-07-10 02:00, -NaN, 14.34
2014-07-10 02:30, -NaN, 13.63
2014-07-10 03:00, -NaN, 11.90
2014-07-10 03:30, -NaN, 11.10
2014-07-10 04:00, -NaN, 10.44
2014-07-10 04:30, -NaN, 9.77
2014-07-10 05:00, -NaN, 10.11
2014-07-10 05:30, -NaN, 13.35
2014-07-10 06:00, -NaN, 17.43
2014-07-10 06:30, -NaN, 19.44
2014-07-10 07:00, -NaN, 21.48
2014-07-10 07:30, -NaN, 22.84
2014-07-10 08:00, -NaN, 24.61
2014-07-10 08:30, -NaN, 25.18
2014-07-10 09:00, -NaN, 25.19
2014-07-10 09:30, -NaN, 24.99
2014-07-10 10:00, -NaN, 24.85
2014-07-10 10:30, -NaN, 25.12
2014-07-10 11:00, -NaN, 25.51
2014-07-10 11:30, -NaN, 25.29
2014-07-10 12:00, -NaN, 26.09
2014-07-10 12:30, -NaN, 27.23
2014-07-10 13:00, -NaN, 26.77
2014-07-10 13:30, -NaN, 27.46
2014-07-10 14:00, -NaN, 28.06
2014-07-10 14:30, -NaN, 28.53
2014-07-10 15:00, -NaN, 29.98
2014-07-10 15:30, -NaN, 29.29
2014-07-10 16:00, -NaN, 29.62
2014-07-10 16:30, -NaN, 29.33
2014-07-10 17:00, -NaN, 28.76
2014-07-10 17:30, -NaN, 27.26
2014-07-10 18:00, -NaN, 25.61
2014-07-10 18:30, -NaN, 24.60
2014-07-10 19:00, -NaN, 23.44
2014-07-10 19:30, -NaN, 22.40
2014-07-10 20:00, -NaN, 20.50
2014-07-10 20:30, -NaN, 18.23
2014-07-10 21:00, -NaN, 16.53
2014-07-10 21:30, -NaN, 15.36
2014-07-10 22:00, -NaN, 14.95
2014-07-10 22:30, -NaN, 14.28
2014-07-10 23:00, -NaN, 13.57
2014-07-10 23:30, -NaN, 13.32
2014-07-11 00:00, -NaN, 13.10
2014-07-11 00:30, -NaN, 12.45
2014-07-11 01:00, -NaN, 12.28
2014-07-11 01:30, -NaN, 12.00
2014-07-11 02:00, -NaN, 11.65
2014-07-11 02:30, -NaN, 11.21
2014-07-11 03:00, -NaN, 10.98
2014-07-11 03:30, -NaN, 10.47
