Time (PST),CH4 Flux Corrected EC System 2 [Smartflux] (1.80m)
2015-06-09 15:30, 34.4721
2015-06-09 16:00, NaN
2015-06-09 16:30, 34.4721
2015-06-09 17:00, NaN
2015-06-09 17:30, NaN
2015-06-09 18:00, NaN
2015-06-09 18:30, NaN
2015-06-09 19:00, NaN
2015-06-09 19:30, NaN
2015-06-09 20:00, NaN
2015-06-09 20:30, -116.9492
2015-06-09 21:00, -351.5252
2015-06-09 21:30, -948.3304
2015-06-09 22:00,-1170.0367
2015-06-09 22:30, 35.1543
2015-06-09 23:00, 539.2728
2015-06-09 23:30, 170.7180
2015-06-10 00:00, -460.6334
2015-06-10 00:30, 51.2929
2015-06-10 01:00, 64.6377
2015-06-10 01:30, 69.3104
2015-06-10 02:00, 49.9940
2015-06-10 02:30, 48.3691
2015-06-10 03:00, 51.3448
2015-06-10 03:30, 44.0921
2015-06-10 04:00, -55.0483
2015-06-10 04:30, -4.5134
2015-06-10 05:00, 34.3216
2015-06-10 05:30, 67.1588
2015-06-10 06:00, 27.2747
2015-06-10 06:30, 44.9602
2015-06-10 07:00, -5.5091
2015-06-10 07:30, -5.5056
2015-06-10 08:00, 27.2586
2015-06-10 08:30, 15.0333
2015-06-10 09:00, 23.1396
2015-06-10 09:30, 28.1139
2015-06-10 10:00, 24.7068
2015-06-10 10:30, 19.2784
2015-06-10 11:00, 20.8512
2015-06-10 11:30, 21.1240
2015-06-10 12:00, 23.5870
2015-06-10 12:30, 23.3348
2015-06-10 13:00, 26.7299
2015-06-10 13:30, 18.3460
2015-06-10 14:00, 32.7935
2015-06-10 14:30, 33.2183
2015-06-10 15:00, 31.0027
2015-06-10 15:30, 7.5288
2015-06-10 16:00, -18.5321
2015-06-10 16:30, 15.4717
2015-06-10 17:00, 43.2778
2015-06-10 17:30, 56.3421
2015-06-10 18:00, 48.6688
2015-06-10 18:30, 46.7841
2015-06-10 19:00, -23.1479
2015-06-10 19:30, 23.8132
2015-06-10 20:00, 212.5766
2015-06-10 20:30, -306.7720
2015-06-10 21:00, -96.8518
2015-06-10 21:30, -662.0463
2015-06-10 22:00,-1689.2035
2015-06-10 22:30, 336.5484
2015-06-10 23:00, 20.9819
2015-06-10 23:30, 51.4232
2015-06-11 00:00, 93.2870
2015-06-11 00:30, 12.0946
2015-06-11 01:00, 30.7068
