Time (PST),Oxidation Reduction Potential (-0.10m),Oxidation Reduction Potential (-0.30m)
2015-07-28 14:30, 178.54, 88.18
2015-07-28 15:00, 66.63, 47.48
2015-07-28 15:30, 17.31, 13.79
2015-07-28 16:00, -5.84, -12.73
2015-07-28 16:30, -25.84, -35.37
2015-07-28 17:00, -43.83, -52.34
2015-07-28 17:30, -60.01, -62.84
2015-07-28 18:00, -74.14, -68.55
2015-07-28 18:30, -85.78, -71.61
2015-07-28 19:00, -94.66, -73.38
2015-07-28 19:30, -101.03, -73.99
2015-07-28 20:00, -105.09, -74.33
2015-07-28 20:30, -107.53, -74.61
2015-07-28 21:00, -108.71, -74.55
2015-07-28 21:30, -109.13, -75.17
2015-07-28 22:00, -108.91, -76.38
2015-07-28 22:30, -108.18, -74.72
2015-07-28 23:00, -107.54, -74.30
2015-07-28 23:30, -106.80, -74.09
2015-07-29 00:00, -105.95, -73.95
2015-07-29 00:30, -105.14, -74.38
2015-07-29 01:00, -104.57, -74.21
2015-07-29 01:30, -103.84, -73.29
2015-07-29 02:00, -103.07, -73.10
2015-07-29 02:30, -102.63, -72.82
2015-07-29 03:00, -101.99, -72.59
2015-07-29 03:30, -101.44, -72.32
2015-07-29 04:00, -100.87, -72.23
2015-07-29 04:30, -100.35, -71.81
2015-07-29 05:00, -99.88, -71.60
2015-07-29 05:30, -99.43, -71.29
2015-07-29 06:00, -98.86, -70.95
2015-07-29 06:30, -98.65, -70.48
2015-07-29 07:00, -98.09, -70.02
2015-07-29 07:30, -97.70, -69.63
2015-07-29 08:00, -97.21, -69.43
2015-07-29 08:30, -96.71, -69.25
2015-07-29 09:00, -95.93, -68.52
2015-07-29 09:30, -95.25, -68.14
2015-07-29 10:00, -94.19, -67.72
2015-07-29 10:30, -93.22, -67.27
2015-07-29 11:00, -91.95, -66.73
2015-07-29 11:30, -91.07, -66.25
2015-07-29 12:00, -90.10, -65.79
2015-07-29 12:30, -89.22, -65.36
2015-07-29 13:00, -88.52, -64.92
2015-07-29 13:30, -88.09, -64.51
2015-07-29 14:00, -87.81, -64.13
2015-07-29 14:30, -87.64, -63.80
2015-07-29 15:00, -87.65, -63.47
2015-07-29 15:30, -87.68, -63.13
2015-07-29 16:00, -87.86, -62.93
2015-07-29 16:30, -88.18, -62.57
2015-07-29 17:00, -87.94, -62.33
2015-07-29 17:30, -87.87, -62.00
2015-07-29 18:00, -88.03, -61.74
2015-07-29 18:30, -88.17, -61.36
2015-07-29 19:00, -88.13, -61.13
2015-07-29 19:30, -88.02, -61.17
2015-07-29 20:00, -87.96, -61.11
2015-07-29 20:30, -87.51, -60.92
2015-07-29 21:00, -87.18, -60.82
2015-07-29 21:30, -87.06, -60.63
2015-07-29 22:00, -87.08, -60.54
2015-07-29 22:30, -86.77, -60.55
2015-07-29 23:00, -86.59, -60.40
2015-07-29 23:30, -86.63, -60.30
2015-07-30 00:00, -86.53, -60.23
2015-07-30 00:30, -86.63, -60.93
2015-07-30 01:00, -86.74, -60.87
2015-07-30 01:30, -86.53, -60.13
2015-07-30 02:00, -86.36, -60.10
2015-07-30 02:30, -86.36, -60.10
2015-07-30 03:00, -86.38, -60.08
2015-07-30 03:30, -86.44, -59.98
2015-07-30 04:00, -86.38, -60.09
2015-07-30 04:30, -86.44, -60.04
2015-07-30 05:00, -86.07, -59.97
2015-07-30 05:30, -86.06, -59.93
2015-07-30 06:00, -85.91, -59.74
2015-07-30 06:30, -86.08, -59.76
2015-07-30 07:00, -86.19, -59.40
2015-07-30 07:30, -86.11, -59.44
2015-07-30 08:00, -85.72, -58.92
2015-07-30 08:30, -85.46, -58.92
2015-07-30 09:00, -85.06, -58.88
2015-07-30 09:30, -84.30, -58.81
2015-07-30 10:00, -83.46, -58.72
2015-07-30 10:30, -82.10, -58.53
2015-07-30 11:00, -81.19, -58.33
2015-07-30 11:30, -79.98, -58.03
2015-07-30 12:00, -79.26, -57.87
2015-07-30 12:30, -78.51, -57.63
2015-07-30 13:00, -77.95, -57.41
2015-07-30 13:30, -78.21, -57.34
2015-07-30 14:00, -78.53, -57.26
2015-07-30 14:30, -78.88, -57.12
2015-07-30 15:00, -79.67, -57.17
2015-07-30 15:30, -80.12, -57.13
2015-07-30 16:00, -80.66, -57.16
2015-07-30 16:30, -81.48, -57.16
2015-07-30 17:00, -82.24, -57.06
2015-07-30 17:30, -82.92, -57.07
2015-07-30 18:00, -83.10, -57.01
2015-07-30 18:30, -84.26, -56.91
2015-07-30 19:00, -84.37, -56.76
2015-07-30 19:30, -84.90, -56.90
2015-07-30 20:00, -84.92, -57.14
2015-07-30 20:30, -85.27, -57.27
2015-07-30 21:00, -85.24, -57.35
2015-07-30 21:30, -85.39, -57.30
2015-07-30 22:00, -85.64, -57.39
2015-07-30 22:30, -85.83, -57.40
2015-07-30 23:00, -85.69, -57.50
2015-07-30 23:30, -85.74, -57.58
2015-07-31 00:00, -85.83, -57.68
2015-07-31 00:30, -86.25, -58.40
2015-07-31 01:00, -86.24, -58.45
2015-07-31 01:30, -86.15, -57.95
2015-07-31 02:00, -86.20, -58.15
2015-07-31 02:30, -86.20, -58.04
2015-07-31 03:00, -86.05, -58.02
2015-07-31 03:30, -86.06, -58.04
2015-07-31 04:00, -86.05, -58.17
2015-07-31 04:30, -85.92, -58.23
2015-07-31 05:00, -85.97, -58.38
2015-07-31 05:30, -85.94, -58.33
2015-07-31 06:00, -85.78, -58.26
2015-07-31 06:30, -86.01, -58.13
2015-07-31 07:00, -86.19, -57.99
2015-07-31 07:30, -85.82, -57.95
2015-07-31 08:00, -85.19, -57.49
2015-07-31 08:30, -84.92, -57.53
2015-07-31 09:00, -84.26, -57.56
2015-07-31 09:30, -83.25, -57.51
2015-07-31 10:00, -82.37, -57.53
2015-07-31 10:30, -81.26, -57.32
2015-07-31 11:00, -79.99, -57.14
2015-07-31 11:30, -79.07, -57.00
2015-07-31 12:00, -77.86, -56.89
2015-07-31 12:30, -76.73, -56.72
2015-07-31 13:00, -76.39, -56.53
2015-07-31 13:30, -76.40, -56.48
2015-07-31 14:00, -77.02, -56.40
2015-07-31 14:30, -77.59, -56.40
2015-07-31 15:00, -78.54, -56.49
2015-07-31 15:30, -79.18, -56.53
2015-07-31 16:00, -80.19, -56.60
2015-07-31 16:30, -80.91, -56.60
2015-07-31 17:00, -81.46, -56.63
2015-07-31 17:30, -82.35, -56.56
2015-07-31 18:00, -83.09, -56.55
2015-07-31 18:30, -83.82, -56.46
2015-07-31 19:00, -84.27, -56.36
2015-07-31 19:30, -84.50, -56.42
2015-07-31 20:00, -85.10, -56.67
2015-07-31 20:30, -84.98, -56.73
2015-07-31 21:00, -85.11, -56.97
2015-07-31 21:30, -85.02, -57.04
2015-07-31 22:00, -85.20, -57.09
2015-07-31 22:30, -85.53, -57.16
2015-07-31 23:00, -85.57, -57.33
2015-07-31 23:30, -85.82, -57.39
2015-08-01 00:00, -86.01, -57.59
2015-08-01 00:30, -86.11, -57.91
2015-08-01 01:00, -86.14, -58.00
2015-08-01 01:30, -86.09, -57.27
2015-08-01 02:00, -85.82, -57.32
2015-08-01 02:30, -85.81, -57.41
2015-08-01 03:00, -85.60, -57.25
2015-08-01 03:30, -86.02, -57.00
2015-08-01 04:00, -86.06, -56.99
2015-08-01 04:30, -86.16, -57.04
2015-08-01 05:00, -86.30, -57.11
2015-08-01 05:30, -86.18, -57.07
2015-08-01 06:00, -86.21, -57.11
2015-08-01 06:30, -85.93, -57.13
2015-08-01 07:00, -85.77, -57.24
2015-08-01 07:30, -85.74, -57.29
2015-08-01 08:00, -85.02, -57.04
2015-08-01 08:30, -84.90, -56.80
2015-08-01 09:00, -84.88, -56.81
2015-08-01 09:30, -84.10, -56.81
2015-08-01 10:00, -82.89, -56.79
2015-08-01 10:30, -82.15, -56.63
2015-08-01 11:00, -81.79, -56.54
2015-08-01 11:30, -80.45, -56.46
2015-08-01 12:00, -80.22, -56.11
2015-08-01 12:30, -79.25, -56.06
2015-08-01 13:00, -78.87, -56.16
2015-08-01 13:30, -78.71, -56.12
2015-08-01 14:00, -79.03, -56.24
2015-08-01 14:30, -78.97, -56.18
2015-08-01 15:00, -79.82, -56.25
2015-08-01 15:30, -80.61, -56.34
2015-08-01 16:00, -81.80, -56.39
2015-08-01 16:30, -81.52, -56.39
2015-08-01 17:00, -81.58, -56.33
2015-08-01 17:30, -82.45, -56.28
2015-08-01 18:00, -82.83, -56.19
2015-08-01 18:30, -83.44, -56.18
2015-08-01 19:00, -83.78, -55.90
2015-08-01 19:30, -84.54, -55.45
2015-08-01 20:00, -84.61, -55.64
2015-08-01 20:30, -84.76, -55.81
2015-08-01 21:00, -84.72, -56.18
2015-08-01 21:30, -85.00, -56.40
2015-08-01 22:00, -85.12, -56.46
2015-08-01 22:30, -85.41, -56.49
2015-08-01 23:00, -85.41, -56.61
2015-08-01 23:30, -85.65, -56.66
2015-08-02 00:00, -85.63, -56.90
2015-08-02 00:30, -85.50, -57.58
2015-08-02 01:00, -85.64, -57.71
2015-08-02 01:30, -85.98, -57.02
2015-08-02 02:00, -85.94, -57.35
2015-08-02 02:30, -85.86, -57.37
2015-08-02 03:00, -85.89, -57.16
2015-08-02 03:30, -85.94, -57.19
2015-08-02 04:00, -86.04, -57.28
