Time (PST),Water Table Height (-1.00m)
2015-07-28 13:00, -95.28
2015-07-28 13:30, -60.88
2015-07-28 14:00, -30.53
2015-07-28 14:30, -33.81
2015-07-28 15:00, -31.58
2015-07-28 15:30, -31.73
2015-07-28 16:00, -31.91
2015-07-28 16:30, -31.95
2015-07-28 17:00, -31.95
2015-07-28 17:30, -31.95
2015-07-28 18:00, -31.96
2015-07-28 18:30, -31.98
2015-07-28 19:00, -32.03
2015-07-28 19:30, -32.00
2015-07-28 20:00, -31.98
2015-07-28 20:30, -31.93
2015-07-28 21:00, -31.93
2015-07-28 21:30, -31.96
2015-07-28 22:00, -31.98
2015-07-28 22:30, -31.98
2015-07-28 23:00, -31.98
2015-07-28 23:30, -31.99
2015-07-29 00:00, -31.96
2015-07-29 00:30, -31.98
2015-07-29 01:00, -31.98
2015-07-29 01:30, -31.98
2015-07-29 02:00, -31.98
2015-07-29 02:30, -31.98
2015-07-29 03:00, -31.98
2015-07-29 03:30, -31.98
2015-07-29 04:00, -31.98
2015-07-29 04:30, -31.98
2015-07-29 05:00, -31.98
2015-07-29 05:30, -31.98
2015-07-29 06:00, -31.98
2015-07-29 06:30, -31.91
2015-07-29 07:00, -31.80
2015-07-29 07:30, -31.80
2015-07-29 08:00, -31.75
2015-07-29 08:30, -31.72
2015-07-29 09:00, -31.78
2015-07-29 09:30, -31.84
2015-07-29 10:00, -31.86
2015-07-29 10:30, -31.86
2015-07-29 11:00, -31.86
2015-07-29 11:30, -31.90
2015-07-29 12:00, -31.95
2015-07-29 12:30, -31.99
2015-07-29 13:00, -32.14
2015-07-29 13:30, -32.22
2015-07-29 14:00, -32.29
2015-07-29 14:30, -32.36
2015-07-29 15:00, -32.50
2015-07-29 15:30, -32.57
2015-07-29 16:00, -32.57
2015-07-29 16:30, -32.60
2015-07-29 17:00, -32.66
2015-07-29 17:30, -32.66
2015-07-29 18:00, -32.68
2015-07-29 18:30, -32.70
2015-07-29 19:00, -32.69
2015-07-29 19:30, -32.68
2015-07-29 20:00, -32.66
2015-07-29 20:30, -32.66
2015-07-29 21:00, -32.65
2015-07-29 21:30, -32.54
2015-07-29 22:00, -32.52
2015-07-29 22:30, -32.52
2015-07-29 23:00, -32.51
2015-07-29 23:30, -32.52
2015-07-30 00:00, -32.52
2015-07-30 00:30, -32.51
2015-07-30 01:00, -32.51
2015-07-30 01:30, -32.51
2015-07-30 02:00, -32.51
2015-07-30 02:30, -32.51
2015-07-30 03:00, -32.51
2015-07-30 03:30, -32.51
2015-07-30 04:00, -32.51
2015-07-30 04:30, -32.51
2015-07-30 05:00, -32.51
2015-07-30 05:30, -32.51
2015-07-30 06:00, -32.50
2015-07-30 06:30, -32.43
2015-07-30 07:00, -32.42
2015-07-30 07:30, -32.41
2015-07-30 08:00, -32.35
2015-07-30 08:30, -32.40
2015-07-30 09:00, -32.37
2015-07-30 09:30, -32.34
2015-07-30 10:00, -32.40
2015-07-30 10:30, -32.50
2015-07-30 11:00, -32.57
2015-07-30 11:30, -32.58
2015-07-30 12:00, -32.65
2015-07-30 12:30, -32.81
2015-07-30 13:00, -32.92
2015-07-30 13:30, -32.95
2015-07-30 14:00, -33.08
2015-07-30 14:30, -33.19
2015-07-30 15:00, -33.26
2015-07-30 15:30, -33.31
2015-07-30 16:00, -33.39
2015-07-30 16:30, -33.51
2015-07-30 17:00, -33.54
2015-07-30 17:30, -33.54
2015-07-30 18:00, -33.55
2015-07-30 18:30, -33.55
2015-07-30 19:00, -33.55
2015-07-30 19:30, -33.48
2015-07-30 20:00, -33.37
2015-07-30 20:30, -33.36
2015-07-30 21:00, -33.36
2015-07-30 21:30, -33.29
2015-07-30 22:00, -33.20
2015-07-30 22:30, -33.18
2015-07-30 23:00, -33.16
2015-07-30 23:30, -33.15
2015-07-31 00:00, -33.14
2015-07-31 00:30, -33.13
2015-07-31 01:00, -33.13
2015-07-31 01:30, -33.13
2015-07-31 02:00, -33.13
2015-07-31 02:30, -33.13
2015-07-31 03:00, -33.13
2015-07-31 03:30, -33.12
2015-07-31 04:00, -33.12
2015-07-31 04:30, -33.10
2015-07-31 05:00, -33.08
2015-07-31 05:30, -33.12
2015-07-31 06:00, -33.13
2015-07-31 06:30, -33.11
2015-07-31 07:00, -33.05
2015-07-31 07:30, -33.04
2015-07-31 08:00, -33.06
2015-07-31 08:30, -33.13
2015-07-31 09:00, -33.04
2015-07-31 09:30, -33.02
2015-07-31 10:00, -33.03
2015-07-31 10:30, -33.09
2015-07-31 11:00, -33.18
2015-07-31 11:30, -33.27
2015-07-31 12:00, -33.31
2015-07-31 12:30, -33.45
2015-07-31 13:00, -33.55
2015-07-31 13:30, -33.63
2015-07-31 14:00, -33.72
2015-07-31 14:30, -33.89
2015-07-31 15:00, -33.90
2015-07-31 15:30, -33.91
2015-07-31 16:00, -33.97
2015-07-31 16:30, -33.99
2015-07-31 17:00, -34.00
