Time (PST),Water Temperature (-0.10m),Water Temperature (-0.30m)
2015-07-28 14:30, 19.99, 18.57
2015-07-28 15:00, 20.70, 19.04
2015-07-28 15:30, 20.91, 18.97
2015-07-28 16:00, 21.15, 18.92
2015-07-28 16:30, 21.34, 18.88
2015-07-28 17:00, 21.54, 18.85
2015-07-28 17:30, 21.70, 18.82
2015-07-28 18:00, 21.84, 18.79
2015-07-28 18:30, 21.97, 18.77
2015-07-28 19:00, 22.07, 18.76
2015-07-28 19:30, 22.15, 18.77
2015-07-28 20:00, 22.16, 18.79
2015-07-28 20:30, 22.06, 18.80
2015-07-28 21:00, 22.01, 18.72
2015-07-28 21:30, 21.95, 18.61
2015-07-28 22:00, 21.86, 18.60
2015-07-28 22:30, 21.75, 18.59
2015-07-28 23:00, 21.64, 18.58
2015-07-28 23:30, 21.51, 18.58
2015-07-29 00:00, 21.39, 18.58
2015-07-29 00:30, 21.23, 18.58
2015-07-29 01:00, 21.09, 18.58
2015-07-29 01:30, 20.94, 18.59
2015-07-29 02:00, 20.79, 18.59
2015-07-29 02:30, 20.65, 18.59
2015-07-29 03:00, 20.48, 18.60
2015-07-29 03:30, 20.35, 18.59
2015-07-29 04:00, 20.19, 18.60
2015-07-29 04:30, 20.08, 18.61
2015-07-29 05:00, 19.92, 18.62
2015-07-29 05:30, 19.78, 18.62
2015-07-29 06:00, 19.58, 18.57
2015-07-29 06:30, 19.39, 18.53
2015-07-29 07:00, 19.23, 18.52
2015-07-29 07:30, 19.16, 18.56
2015-07-29 08:00, 19.01, 18.54
2015-07-29 08:30, 19.06, 18.67
2015-07-29 09:00, 19.12, 18.76
2015-07-29 09:30, 19.10, 18.77
2015-07-29 10:00, 19.11, 18.76
2015-07-29 10:30, 19.19, 18.78
2015-07-29 11:00, 19.33, 18.81
2015-07-29 11:30, 19.48, 18.81
2015-07-29 12:00, 19.66, 18.81
2015-07-29 12:30, 19.83, 18.78
2015-07-29 13:00, 20.07, 18.77
2015-07-29 13:30, 20.30, 18.77
