Time (PST),Panel Temperature,Battery Box Temperature 1,Battery Box Temperature 2,Case Temperature (4.25m)
2014-07-09 09:30, 21.69, -NaN, -NaN, -NaN
2014-07-09 10:00, 22.61, -NaN, -NaN, -NaN
2014-07-09 10:30, 23.31, -NaN, -NaN, -NaN
2014-07-09 11:00, 23.44, -NaN, -NaN, -NaN
2014-07-09 11:30, 23.19, -NaN, -NaN, -NaN
2014-07-09 12:00, 22.63, -NaN, -NaN, -NaN
2014-07-09 12:30, 22.91, -NaN, -NaN, -NaN
2014-07-09 13:00, 23.25, -NaN, -NaN, -NaN
2014-07-09 13:30, 23.90, 98.70, -NaN, -NaN
2014-07-09 14:00, 24.61, 87.51, -NaN, -NaN
2014-07-09 14:30, 24.56, 74.35, -NaN, -NaN
2014-07-09 15:00, 24.51, 62.77, -NaN, -NaN
2014-07-09 15:30, 24.54, 50.32, -NaN, 25.14
2014-07-09 16:00, 24.74, 40.56, -NaN, 25.31
2014-07-09 16:30, 25.17, 38.27, -NaN, 25.44
2014-07-09 17:00, 25.28, 40.37, -NaN, 25.07
2014-07-09 17:30, 25.66, 44.37, -NaN, 24.74
2014-07-09 18:00, 26.36, 40.19, -NaN, 24.46
2014-07-09 18:30, 26.84, 37.91, -NaN, 24.02
2014-07-09 19:00, 26.34, 35.28, -NaN, 23.23
2014-07-09 19:30, 25.34, 32.75, -NaN, 22.40
2014-07-09 20:00, 23.82, 31.02, -NaN, 20.38
2014-07-09 20:30, 21.87, 28.95, -NaN, 18.88
2014-07-09 21:00, 20.05, 27.16, -NaN, 18.05
2014-07-09 21:30, 18.83, 26.12, -NaN, 17.21
2014-07-09 22:00, 18.07, 25.44, -NaN, 17.56
2014-07-09 22:30, 17.73, 25.22, -NaN, 16.91
2014-07-09 23:00, 17.45, 24.78, -NaN, 17.41
2014-07-09 23:30, 17.50, 24.87, -NaN, 17.30
2014-07-10 00:00, 17.36, 24.98, -NaN, 16.58
2014-07-10 00:30, 16.66, 24.21, -NaN, 15.72
2014-07-10 01:00, 16.01, 23.61, -NaN, 15.55
2014-07-10 01:30, 15.68, 23.34, -NaN, 15.18
2014-07-10 02:00, 15.31, 23.04, -NaN, 14.75
2014-07-10 02:30, 14.87, 22.52, -NaN, 14.09
2014-07-10 03:00, 14.03, 21.76, -NaN, 13.01
2014-07-10 03:30, 12.97, 20.98, -NaN, 12.19
2014-07-10 04:00, 12.16, 20.70, -NaN, 11.13
2014-07-10 04:30, 11.51, 20.74, -NaN, 11.55
2014-07-10 05:00, 11.49, 20.79, -NaN, 12.52
2014-07-10 05:30, 12.31, 21.65, -NaN, 14.47
2014-07-10 06:00, 13.60, 23.20, -NaN, 16.77
2014-07-10 06:30, 14.81, 24.37, -NaN, 18.52
2014-07-10 07:00, 15.93, 23.49, -NaN, 20.50
2014-07-10 07:30, 17.07, 23.38, -NaN, 22.00
2014-07-10 08:00, 18.36, 23.88, -NaN, 23.37
2014-07-10 08:30, 19.75, 24.74, -NaN, 24.31
2014-07-10 09:00, 21.22, 25.36, -NaN, 25.03
2014-07-10 09:30, 22.74, 26.31, -NaN, 25.86
2014-07-10 10:00, 23.75, 26.26, -NaN, 23.47
2014-07-10 10:30, 23.93, 25.49, -NaN, 22.66
2014-07-10 11:00, 24.06, 24.84, -NaN, 22.61
2014-07-10 11:30, 24.10, 24.57, -NaN, 22.61
2014-07-10 12:00, 24.34, 24.76, -NaN, 23.26
2014-07-10 12:30, 24.52, 24.68, -NaN, 24.01
2014-07-10 13:00, 24.44, 24.23, -NaN, 24.37
2014-07-10 13:30, 24.57, 24.44, -NaN, 25.28
2014-07-10 14:00, 25.00, 25.53, -NaN, 25.94
2014-07-10 14:30, 25.57, 26.86, -NaN, 26.67
2014-07-10 15:00, 26.12, 28.35, -NaN, 27.13
2014-07-10 15:30, 26.58, 30.16, -NaN, 27.50
2014-07-10 16:00, 27.18, 32.14, -NaN, 28.16
2014-07-10 16:30, 27.74, 33.56, -NaN, 28.14
2014-07-10 17:00, 28.07, 34.38, -NaN, 28.12
2014-07-10 17:30, 28.05, 34.67, -NaN, 27.06
